Título,Imagem,Resumo,URL,Duração,Genero,Idade,Sensibilidade Luz,Plataforma
Pequenas histórias com Bluey,imagens/T02-pequenas-historias-bluey.png,"Este vídeo é uma coleção de quarenta pequenas histórias de Bluey, Bingo e a sua família. Testemunhe o caos criativo e as brincadeiras imaginativas que definem o dia a dia desta família, desde o Pai (Bandit) a tentar escapar de músicas infantis e a lidar com brinquedos novos, até uma hilariante recontagem moderna dos Três Porquinhos. Cada curta explora a forma única como Bluey e Bingo transformam situações quotidianas — como investigações de ""toques"" misteriosos ou a frustração do Pai com a desobediência — em aventuras memoráveis.",https://www.youtube.com/watch?v=5IRl-R73n3k&list=PLVkj_daPh17RO5CF23yT3S5MckpB2BbEJ,00:27:56,Arte,Livre,Não,YouTube
Visitando o Vovô,imagens/T03-visitando-vovo.png,"Daniel Tigre e a sua família fazem uma viagem para visitar o Vovô Tigre. Embora Daniel ache divertido, ele repara que muitas coisas são diferentes da sua casa, como dormir num colchonete ou guardar a roupa numa mala. Para transformar a experiência numa aventura, o Vovô leva a família numa caça ao tesouro de barco até à Ilha do Tigre. A aventura ensina a Daniel que, mesmo quando se viaja e as coisas parecem diferentes, o amor e a diversão em família continuam iguais.",https://www.youtube.com/watch?v=cp0xmXc5nLM,00:11:35,Aventura,14,Não,YouTube
Sid o cientista- A Lupa,imagens/T04-sid-lupa.png,"Neste episódio, o Sid está curioso sobre os seus ""bichinhos"" de estimação, os tatuzinhos. Ele repara que eles são tão pequenos que não consegue perceber como é que eles andam, especialmente porque eles se transformam em bola sempre que ele lhes toca. Na escola, a Professora Susana introduz uma ferramenta científica para resolver este mistério: a lupa. As crianças aprendem a usar lupas para ""ampliar"" as coisas e observá-las melhor, descobrindo finalmente que os tatuzinhos têm muitas perninhas pequenas que usam para andar.",https://www.youtube.com/watch?v=EwgfG0OJqjI,00:22:48,Educativo,16,Não,YouTube
Turma da Mônica-Linda Noite de Natal,imagens/T05-monica-natal.png,"Neste especial, a Turma da Mônica descobre o verdadeiro significado do Natal. Ao decidirem doar alguns dos seus brinquedos, Mônica, Cebolinha, Cascão e Magali recordam as memórias afetivas ligadas a cada objeto. O ato de generosidade culmina num encontro mágico com o Papai Noel, que lhes ensina que a partilha e o carinho são o verdadeiro ""espírito de Natal"".",https://www.youtube.com/watch?v=0O2aVH5Z0Ps,00:26:03,Fantasia,Livre,Não,YouTube
Franklin Joga Futebol,imagens/T06-frank-futebol.png,"Este vídeo apresenta duas histórias: primeiro, em ""Franklin Joga Futebol"", Franklin e a sua equipa, desanimados por nunca ganharem, aprendem a transformar as suas fraquezas individuais em forças de equipa, descobrindo o valor do esforço conjunto.",https://www.youtube.com/watch?v=g66un_jWVe0,00:22:57,Educativo,10,Sim,YouTube
O Pequeno Urso,imagens/T07-o-pequeno-urso.png,"Pequeno urso é um filme de animação baseado na série televisiva Little Bear, que por sua vez é baseada em uma série de livros infantis homônima escrita por Else Holmelund Minarik e ilustrada por Maurice Sendak. O filme foi produzido pela Nelvana Limited para a Paramount Pictures.",https://youtu.be/BE9ccDep7MI?si=VNUfAdY_pGaSR-6T,01:15:17,Aventura,10,Não,YouTube
"George, o Curioso - George vai para o Japão",imagens/T08-george-vai-para-o-japao.png,"George está animado para visitar o Japão, para o festival da neve no inverno!",https://youtu.be/7WITlCQ6spE?si=EJPKCR57qTK7zdYd,00:05:02,Educativo,Livre,Não,YouTube
Peixonauta - o Caso do Dia de Sol,imagens/T09-o-caso-do-dia-de-sol.png,"Peixonauta, Marina e Zico sofrem com a alta temperatura de um dia de verão. Mais uma missão: alguém está correndo perigo por causa do calor! ",https://youtu.be/7Kf15IXnXLY?si=NIHeujsuyElqGPpR,00:12:35,Aventura,Livre,Não,YouTube
Meu Amigãozão - Mais Alguma Coisa?,imagens/T10-mais-alguma-coisa.png,"Neste episódio, a personagem Lili sente que não está recebendo atenção suficiente de sua mãe, que está ocupada. Para demonstrar como é difícil agradar a todos e gerenciar muitos pedidos ao mesmo tempo, Lili decide montar sua própria sorveteria. ",https://youtu.be/FwY0CBzaQgA?si=hOsw1gZi7mLdAtQS,00:11:03,Educativo,Livre,Não,YouTube
Pocoyo - Quem é a Bea?,imagens/T11-quem-e-a-bea.png,A Bea chegou! O Pocoyo não sabe bem o que pensar da chegada da sua irmã... O que é que ele vai fazer?,https://youtu.be/1tjbPkcIXc0?si=Pr64K-PGWGW-mi8D,00:06:18,Educativo,Livre,Sim,YouTube
"Mickey Mouse - Biscoitos, Caldeiras e Dança Russa",imagens/T12-mickey-mouse.png,"Mickey viaja e deixa a Minnie cuidando do Pluto e depois precisa vencer seus medos para consertar a caldeira do prédio, mas tudo termina em dança em um inesquecível show de dança russa!",https://youtu.be/KtDW_Q_Kyhc?si=r0lqk24d-Rvp4oRk,00:11:12,Aventura,10,Não,YouTube
O Show da Luna - O Amarelo que ficou Verde,imagens/T13-amarelo-que-ficou-verde.png,"O Show da Luna! é um desenho brasileiro de uma menina de 6 anos totalmente apaixonada por ciências! Para Luna, o planeta Terra é um laboratório gigante. A cada episódio, uma curiosidade é abordada, seja no quintal de casa ou em uma estação espacial, Luna, seu irmão mais novo, Júpiter, e o furão de estimação da família, Cláudio, praticam ciência diariamente, formulando hipóteses e fazendo experimentos. Criativa, curiosa e destemida, Luna utiliza sua imaginação para descobrir suas diversas dúvidas.",https://youtu.be/kdlCkpoS7lc?si=-LaGaF_aSrxrrMFS,00:12:00,Educativo,Livre,Não,YouTube
